"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2LYWZEBL","journalArticle","2020","Spakowicz, Daniel; Hoyd, Rebecca; Muniak, Mitchell; Husain, Marium; Bassett, James S.; Wang, Lei; Tinoco, Gabriel; Patel, Sandip H.; Burkart, Jarred; Miah, Abdul","Inferring the role of the microbiome on survival in patients treated with immune checkpoint inhibitors: causal modeling, timing, and classes of concomitant medications","BMC cancer","","","","","","2020","2023-09-19 01:37:53","2023-09-19 01:37:53","","1–13","","","20","","","Inferring the role of the microbiome on survival in patients treated with immune checkpoint inhibitors","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\spak01\Zotero\storage\5ITRIYY4\s12885-020-06882-6.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2Q44ISE2","journalArticle","2020","Li, Mingjia; Spakowicz, Daniel; Zhao, Songzhu; Patel, Sandip H.; Johns, Andrew; Grogan, Madison; Miah, Abdul; Husain, Marium; He, Kai; Bertino, Erin M.","Brief report: inhaled corticosteroid use and the risk of checkpoint inhibitor pneumonitis in patients with advanced cancer","Cancer Immunology, Immunotherapy","","","","","","2020","2023-09-19 01:37:53","2023-09-19 01:37:53","","2403–2408","","","69","","","Brief report","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\spak01\Zotero\storage\JE4PKBPQ\s00262-020-02674-w.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SXKXXPGM","journalArticle","2023","Miah, Abdul; Tinoco, Gabriel; Zhao, Songzhu; Wei, Lai; Johns, Andrew; Patel, Sandip; Li, Mingjia; Grogan, Madison; Lopez, Gabrielle; Husain, Marium","Immune checkpoint inhibitor-induced hepatitis injury: risk factors, outcomes, and impact on survival","Journal of Cancer Research and Clinical Oncology","","","","","","2023","2023-09-19 01:37:53","2023-09-19 01:37:53","","2235–2242","","5","149","","","Immune checkpoint inhibitor-induced hepatitis injury","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\spak01\Zotero\storage\27RPMEYF\s00432-022-04340-3.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49HAEYT8","journalArticle","2019","Li, Mingjia; Spakowicz, Daniel; Burkart, Jarred; Patel, Sandip; Husain, Marium; He, Kai; Bertino, Erin M.; Shields, Peter G.; Carbone, David P.; Verschraegen, Claire F.","Change in neutrophil to lymphocyte ratio during immunotherapy treatment is a non-linear predictor of patient outcomes in advanced cancers","Journal of cancer research and clinical oncology","","","","","","2019","2023-09-19 01:37:53","2023-09-19 01:37:53","","2541–2546","","","145","","","","","","","","","","","","","","","Google Scholar","","Publisher: Springer","","C:\Users\spak01\Zotero\storage\AUUIB9B9\s00432-019-02982-4.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HGNUSKH","journalArticle","2021","Liu, Jason; Spakowicz, Daniel J.; Ash, Garrett I.; Hoyd, Rebecca; Ahluwalia, Rohan; Zhang, Andrew; Lou, Shaoke; Lee, Donghoon; Zhang, Jing; Presley, Carolyn","Bayesian structural time series for biomedical sensor data: A flexible modeling framework for evaluating interventions","PLoS computational biology","","","","","","2021","2023-09-19 01:37:53","2023-09-19 01:37:53","","e1009303","","8","17","","","Bayesian structural time series for biomedical sensor data","","","","","","","","","","","","Google Scholar","","Publisher: Public Library of Science San Francisco, CA USA","","C:\Users\spak01\Zotero\storage\4RGMPB82\article.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EYJLA7Z9","journalArticle","2021","Johns, Andrew C.; Wei, Lai; Grogan, Madison; Hoyd, Rebecca; Bridges, John FP; Patel, Sandipkumar H.; Li, Mingjia; Husain, Marium; Kendra, Kari L.; Otterson, Gregory A.","Checkpoint inhibitor immunotherapy toxicity and overall survival among older adults with advanced cancer","Journal of geriatric oncology","","","","","","2021","2023-09-19 01:37:53","2023-09-19 01:37:53","","813–819","","5","12","","","","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\spak01\Zotero\storage\V9QEJVXD\S1879406821000114.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7XV7ZGCE","journalArticle","2021","Qin, Angel; Zhao, Songzhu; Miah, Abdul; Wei, Lai; Patel, Sandipkumar; Johns, Andrew; Grogan, Madison; Bertino, Erin M.; He, Kai; Shields, Peter G.","Bone Metastases, Skeletal-Related Events, and Survival in Patients With Metastatic Non–Small Cell Lung Cancer Treated With Immune Checkpoint Inhibitors","Journal of the National Comprehensive Cancer Network","","","","","","2021","2023-09-19 01:37:53","2023-09-19 01:37:53","","915–921","","8","19","","","","","","","","","","","","","","","Google Scholar","","Publisher: National Comprehensive Cancer Network","","C:\Users\spak01\Zotero\storage\HLDDI8UW\PMC8752085.html; C:\Users\spak01\Zotero\storage\2PCNKRTB\article-p915.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q3LYLVNY","journalArticle","2022","Presley, Carolyn J.; Mohamed, Mostafa R.; Culakova, Eva; Flannery, Marie; Vibhakar, Pooja H.; Hoyd, Rebecca; Amini, Arya; VanderWalde, Noam; Wong, Melisa L.; Tsubata, Yukari","A geriatric assessment intervention to reduce treatment toxicity among older adults with advanced lung cancer: a subgroup analysis from a cluster randomized controlled trial","Frontiers in Oncology","","","","","","2022","2023-09-19 01:37:53","2023-09-19 01:37:53","","835582","","","12","","","A geriatric assessment intervention to reduce treatment toxicity among older adults with advanced lung cancer","","","","","","","","","","","","Google Scholar","","Publisher: Frontiers","","C:\Users\spak01\Zotero\storage\B3REU87J\full.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XLIBT5Z6","journalArticle","2022","Guo, Yizhen; Wei, Lai; Patel, Sandip H.; Lopez, Gabrielle; Grogan, Madison; Li, Mingjia; Haddad, Tyler; Johns, Andrew; Ganesan, Latha P.; Yang, Yiping","Serum albumin: early prognostic marker of benefit for immune checkpoint inhibitor monotherapy but not chemoimmunotherapy","Clinical Lung Cancer","","","","","","2022","2023-09-19 01:37:53","2023-09-19 01:37:53","","345–355","","4","23","","","Serum albumin","","","","","","","","","","","","Google Scholar","","Publisher: Elsevier","","C:\Users\spak01\Zotero\storage\VDGGIXT7\S1525730422000080.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y53L9HN8","journalArticle","2023","Johns, Andrew C.; Yang, Mike; Wei, Lai; Grogan, Madison; Spakowicz, Daniel; Patel, Sandipkumar H.; Li, Mingjia; Husain, Marium; Kendra, Kari L.; Otterson, Gregory A.","Risk Factors for Immune Checkpoint Inhibitor Immunotherapy Toxicity Among Older Adults with Cancer","The Oncologist","","","","","","2023","2023-09-19 01:37:53","2023-09-19 01:37:53","","oyad097","","","","","","","","","","","","","","","","","","Google Scholar","","Publisher: Oxford University Press US","","C:\Users\spak01\Zotero\storage\ZEYVGH3W\7135996.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
